id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
30,30,349,144548,15,7.5,0.71,12,6.0,1.41,27,13.5,3.54,0.91,0.9,0.55,0.56,15.0,93.34
32,13,69,15322,9,3.0,1.0,10,3.33,0.58,12,4.0,1.73,0.65,0.66,0.44,0.42,24.33,127.86
33,25,372,117622,19,6.33,2.52,10,3.33,0.58,20,6.67,2.08,1.0,1.0,0.44,0.28,51.37,143.58
34,11,187,108624,10,3.33,0.58,8,2.67,1.53,11,3.67,1.15,0.74,0.7,0.72,0.77,34.7,107.71
35,21,289,96928,19,4.75,2.22,16,4.0,2.71,21,5.25,1.89,1.0,1.0,0.39,0.26,47.68,175.44
36,28,237,49894,22,4.4,0.89,19,3.8,0.84,25,5.0,0.71,0.85,0.83,0.49,0.42,19.41,132.97
37,15,395,59258,14,2.8,1.3,10,2.0,1.0,15,3.0,1.22,0.68,0.65,0.59,0.59,8.43,107.57
38,12,1962,1937125,10,3.33,2.52,6,2.0,1.0,11,3.67,3.06,0.64,0.66,0.43,0.35,17.53,95.3
39,23,878,210893,20,4.0,1.87,18,3.6,2.07,23,4.6,2.19,0.6,0.6,0.67,0.63,31.04,155.85
40,18,203,44841,15,5.0,1.0,9,3.0,1.73,16,5.33,1.15,0.92,0.88,0.47,0.46,41.9,136.87
41,16,152,75534,15,3.75,0.5,15,3.75,0.5,16,4.0,0.82,0.97,0.98,0.33,0.23,7.06,146.68
42,23,455,153306,20,4.0,3.54,13,2.6,1.52,23,4.6,4.04,1.0,1.0,0.49,0.38,46.68,123.64
43,19,326,110848,16,4.0,2.94,11,2.75,2.06,19,4.75,2.22,1.0,1.0,0.68,0.59,15.79,80.8
44,19,2326,1092245,17,2.83,0.75,17,2.83,0.75,17,2.83,0.75,0.82,0.83,0.55,0.48,64.32,138.31
45,12,67,15162,10,3.33,1.53,9,3.0,1.0,12,4.0,1.0,0.65,0.65,0.29,0.25,8.41,117.38
46,15,151,23249,13,6.5,3.54,11,5.5,2.12,14,7.0,2.83,0.99,1.0,0.71,0.74,61.47,176.58
47,18,412,371154,14,4.67,1.15,11,3.67,1.53,18,6.0,2.0,1.0,1.0,0.18,0.12,18.83,148.06
48,28,426,84489,21,3.0,0.82,17,2.43,0.53,24,3.43,0.98,1.0,1.0,0.58,0.46,52.8,116.51
49,38,324,92712,31,3.88,1.89,27,3.38,1.51,38,4.75,3.01,0.98,0.98,0.56,0.52,4.83,135.7
50,40,1742,1577011,28,4.67,2.07,25,4.17,2.32,33,5.5,2.43,0.98,0.99,0.32,0.31,57.92,154.84
51,43,7230,8640961,29,5.8,3.03,21,4.2,1.3,36,7.2,4.38,0.7,0.66,0.23,0.25,34.03,106.47
52,20,307,50271,18,4.5,1.29,15,3.75,0.96,20,5.0,1.41,0.97,0.99,0.66,0.67,33.11,139.02
53,40,2775,1749291,31,6.2,1.92,26,5.2,1.79,37,7.4,3.13,0.91,0.89,0.4,0.39,37.03,165.48
54,32,1123,429791,28,4.67,1.75,23,3.83,2.23,30,5.0,2.19,0.97,0.96,0.43,0.4,42.23,106.96
55,23,365,91437,18,3.6,2.41,13,2.6,1.52,20,4.0,3.0,0.7,0.67,0.54,0.45,8.1,109.19
56,18,796,219428,16,4.0,0.82,13,3.25,1.71,17,4.25,0.5,0.88,0.98,0.38,0.4,27.93,123.54
57,29,615,152574,24,4.8,3.11,15,3.0,1.87,29,5.8,4.02,0.9,0.91,0.46,0.27,36.9,112.22
58,41,479,126417,29,7.25,5.38,20,5.0,2.45,39,9.75,8.02,0.76,0.71,0.53,0.46,36.22,146.89
59,14,118,17252,12,4.0,2.0,9,3.0,1.0,13,4.33,2.52,0.95,0.87,0.68,0.55,12.76,141.88
60,11,161,30444,11,3.67,1.53,8,2.67,2.08,11,3.67,1.53,0.79,0.74,0.42,0.39,80.84,115.22
61,23,1607,771057,19,3.8,1.64,13,2.6,1.14,22,4.4,1.95,1.0,1.0,0.7,0.6,46.77,133.94
62,29,586,213070,24,6.0,3.56,16,4.0,0.82,27,6.75,3.86,1.0,1.0,0.45,0.35,66.09,144.99
63,33,28375,37702214,21,5.25,2.63,13,3.25,1.89,27,6.75,3.3,0.92,0.97,0.61,0.63,81.99,106.68
64,20,703,170372,13,3.25,0.5,13,3.25,0.96,18,4.5,1.0,0.96,0.99,0.28,0.13,13.98,117.6
65,22,166,38317,18,6.0,3.0,14,4.67,1.53,19,6.33,3.51,0.79,0.75,0.63,0.61,5.38,100.73
66,13,120,39593,12,3.0,0.82,10,2.5,0.58,13,3.25,0.96,0.83,0.8,0.44,0.32,0.05,150.21
67,22,335,74664,16,4.0,1.41,11,2.75,0.5,20,5.0,0.82,1.0,1.0,0.48,0.39,26.24,95.75
68,19,476,235104,16,4.0,0.82,16,4.0,1.41,19,4.75,1.26,1.0,1.0,0.34,0.22,23.65,146.1
69,22,873,635322,17,5.67,3.21,10,3.33,1.53,20,6.67,3.21,0.82,0.79,0.47,0.36,53.67,123.1
70,16,728,724575,13,3.25,1.26,10,2.5,1.0,15,3.75,1.71,0.94,0.93,0.52,0.5,28.14,102.76
71,31,40775,42585237,19,4.75,0.96,16,4.0,0.82,24,6.0,3.37,0.99,1.0,0.36,0.3,39.98,145.74
72,48,499,120711,29,4.14,2.67,20,2.86,1.21,40,5.71,6.1,0.99,1.0,0.58,0.59,25.78,107.75
73,24,176,53894,20,3.33,1.97,17,2.83,0.98,24,4.0,3.1,0.82,0.83,0.62,0.57,8.06,111.52
74,16,214,55068,13,4.33,1.53,12,4.0,1.73,16,5.33,2.52,0.98,1.0,0.48,0.51,39.85,164.22
76,9,506,433797,5,2.5,0.71,5,2.5,2.12,7,3.5,0.71,0.27,0.08,0.53,0.5,29.4,105.0
113,54,10489,11260921,18,9.0,5.66,12,6.0,0.0,34,17.0,15.56,0.55,0.51,0.28,0.38,8.99,109.44
114,24,355,41982,10,5.0,4.24,7,3.5,0.71,14,7.0,4.24,0.72,0.68,0.58,0.51,48.44,147.57
174,10,102,35078,7,3.5,0.71,6,3.0,0.0,8,4.0,0.0,1.0,1.0,0.57,0.5,4.21,76.3
175,21,873,856143,9,4.5,3.54,10,5.0,2.83,16,8.0,5.66,1.0,1.0,0.32,0.32,18.75,113.85
178,8,135,117842,5,2.5,0.71,5,2.5,0.71,7,3.5,0.71,1.0,1.0,0.5,0.5,26.26,89.16
179,11,44,5814,10,5.0,0.0,9,4.5,0.71,11,5.5,0.71,0.94,0.92,0.74,0.8,25.04,126.7
180,10,59,10150,7,3.5,0.71,5,2.5,0.71,9,4.5,2.12,1.0,1.0,0.64,0.68,10.63,150.5
184,11,706,621570,11,5.5,3.54,7,3.5,0.71,11,5.5,3.54,1.0,1.0,0.49,0.5,67.98,116.38
186,9,90,18432,6,3.0,1.41,6,3.0,0.0,8,4.0,1.41,1.0,1.0,0.26,0.16,73.26,136.67
187,24,675,518404,13,6.5,3.54,9,4.5,2.12,21,10.5,7.78,0.98,0.99,0.64,0.53,26.3,118.48
188,13,168,44217,8,4.0,2.83,6,3.0,2.83,10,5.0,2.83,1.0,1.0,0.52,0.29,86.56,143.22
189,9,364,86909,7,3.5,0.71,5,2.5,2.12,9,4.5,0.71,0.97,1.0,0.66,0.78,60.06,145.75
190,10,888,314715,6,3.0,1.41,7,3.5,2.12,8,4.0,2.83,1.0,1.0,0.84,0.78,4.6,131.44
191,9,165,39491,7,3.5,3.54,6,3.0,1.41,9,4.5,3.54,1.0,1.0,0.84,0.71,42.89,148.22
193,16,353,98457,11,5.5,2.12,8,4.0,1.41,13,6.5,2.12,0.9,0.91,0.54,0.28,46.5,92.4
194,12,224,91634,8,4.0,0.0,7,3.5,0.71,12,6.0,1.41,0.74,0.6,0.38,0.34,59.05,137.03
197,11,187,69734,9,4.5,0.71,6,3.0,1.41,10,5.0,1.41,0.99,1.0,0.52,0.26,46.74,59.9
201,12,139,42274,7,3.5,2.12,6,3.0,1.41,10,5.0,4.24,0.98,1.0,0.23,0.1,19.72,86.55
