id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,478,5205,1399921,333,5.12,2.32,336,5.17,2.23,396,6.09,3.21,0.93,0.93,0.49,0.47,55.11,143.87
1,505,10095,2899836,381,5.08,1.87,375,5.0,2.03,435,5.8,2.51,0.92,0.89,0.54,0.54,47.4,144.87
2,449,7080,3906932,334,5.14,2.03,340,5.23,2.08,385,5.92,2.49,0.93,0.91,0.44,0.45,49.35,139.15
3,378,6466,3901233,279,4.65,2.04,271,4.52,2.07,334,5.57,3.22,0.94,0.94,0.53,0.54,48.54,134.59
4,443,16768,11131868,256,4.34,2.16,216,3.66,1.83,306,5.19,3.13,0.85,0.85,0.52,0.48,53.46,121.13
5,370,12401,9179723,262,4.52,2.42,216,3.72,1.85,313,5.4,3.26,0.91,0.9,0.53,0.51,65.86,125.05
6,377,19711,9181708,252,4.0,1.76,209,3.32,1.35,291,4.62,2.2,0.92,0.92,0.53,0.47,55.78,120.49
7,403,84898,106409029,271,4.3,2.39,237,3.76,1.9,340,5.4,3.98,0.97,0.97,0.51,0.45,58.04,126.26
8,553,19159,11688214,303,4.66,2.22,225,3.46,1.61,375,5.77,3.6,0.98,0.97,0.52,0.42,59.49,130.58
9,462,10971,5147096,340,4.53,2.55,257,3.43,1.69,400,5.33,4.02,0.94,0.94,0.52,0.46,54.71,124.28
10,473,12462,7388988,344,4.65,2.46,289,3.91,1.61,415,5.61,5.0,0.91,0.9,0.53,0.47,54.83,131.09
11,584,10884,6298236,404,5.86,11.21,305,4.42,5.72,488,7.07,15.41,0.97,0.97,0.46,0.38,57.15,117.21
12,285,6657,2494286,209,3.94,2.11,185,3.49,1.8,241,4.55,2.55,0.95,0.95,0.57,0.51,75.97,114.89
13,346,9241,4492298,251,3.86,1.79,228,3.51,1.72,287,4.42,2.11,0.93,0.92,0.54,0.48,68.88,128.72
14,227,3973,1855340,177,3.61,1.37,167,3.41,1.35,190,3.88,1.63,0.94,0.94,0.53,0.51,71.98,126.0
15,207,2345,502008,161,3.5,1.26,151,3.28,1.13,180,3.91,1.6,0.9,0.9,0.54,0.55,57.6,146.5
16,176,5289,4011521,141,3.44,1.64,128,3.12,1.42,155,3.78,2.06,0.94,0.94,0.62,0.6,79.26,119.2
17,244,4210,1474440,184,4.0,1.69,172,3.74,1.5,203,4.41,2.0,0.96,0.95,0.61,0.57,61.09,137.67
18,288,5599,3452882,226,3.83,1.52,219,3.71,1.47,251,4.25,1.81,0.95,0.95,0.55,0.54,59.39,124.24
19,215,7292,940251,177,3.69,1.63,167,3.48,1.56,188,3.92,1.76,0.88,0.87,0.58,0.54,72.44,141.37
